datetime	A1B-A	A1B-B	A1B-C	A1B-BASELINE	RCP85-A	RCP85-B	RCP85-C	RCP85-BASELINE
1981-10-31	16.756999999999998	16.756999999999998	16.756999999999998	16.756999999999998	341.6550000000001	341.6550000000001	341.6550000000001	341.6550000000001
1981-11-30	186.6980000000001	186.6980000000001	186.6980000000001	186.6980000000001	165.14899999999997	165.14899999999997	165.14899999999997	165.14899999999997
1981-12-31	120.87100000000004	120.87100000000004	120.87100000000004	120.87100000000004	85.714	85.714	85.714	85.714
1982-01-31	152.754	152.754	152.754	152.754	76.193	76.193	76.193	76.193
1982-02-28	140.30599999999998	140.30599999999998	140.30599999999998	140.30599999999998	173.39000000000001	173.39000000000001	173.39000000000001	173.39000000000001
1982-03-31	112.66599999999997	112.66599999999997	112.66599999999997	112.66599999999997	148.077	148.077	148.077	148.077
1982-04-30	107.76600000000003	107.76600000000003	107.76600000000003	107.76600000000003	63.48100000000001	63.48100000000001	63.48100000000001	63.48100000000001
1982-05-31	83.77699999999999	83.77699999999999	83.77699999999999	83.77699999999999	67.494	67.494	67.494	67.494
1982-06-30	104.71900000000002	104.71900000000002	104.71900000000002	104.71900000000002	237.94399999999996	237.94399999999996	237.94399999999996	237.94399999999996
1982-07-31	133.431	133.431	133.431	133.431	171.129	171.129	171.129	171.129
1982-08-31	235.54700000000003	235.54700000000003	235.54700000000003	235.54700000000003	174.38599999999997	174.38599999999997	174.38599999999997	174.38599999999997
1982-09-30	183.778	183.778	183.778	183.778	158.891	158.891	158.891	158.891
1982-10-31	52.42699999999999	52.42699999999999	52.42699999999999	52.42699999999999	166.91499999999996	166.91499999999996	166.91499999999996	166.91499999999996
1982-11-30	44.522	44.522	44.522	44.522	57.80200000000002	57.80200000000002	57.80200000000002	57.80200000000002
1982-12-31	44.190999999999995	44.190999999999995	44.190999999999995	44.190999999999995	107.74699999999997	107.74699999999997	107.74699999999997	107.74699999999997
1983-01-31	112.86799999999998	112.86799999999998	112.86799999999998	112.86799999999998	258.75599999999986	258.75599999999986	258.75599999999986	258.75599999999986
1983-02-28	86.39299999999997	86.39299999999997	86.39299999999997	86.39299999999997	112.03899999999999	112.03899999999999	112.03899999999999	112.03899999999999
1983-03-31	144.428	144.428	144.428	144.428	131.33700000000005	131.33700000000005	131.33700000000005	131.33700000000005
1983-04-30	126.31900000000003	126.31900000000003	126.31900000000003	126.31900000000003	156.49000000000004	156.49000000000004	156.49000000000004	156.49000000000004
1983-05-31	122.43600000000002	122.43600000000002	122.43600000000002	122.43600000000002	159.00300000000004	159.00300000000004	159.00300000000004	159.00300000000004
1983-06-30	102.44199999999998	102.44199999999998	102.44199999999998	102.44199999999998	146.56100000000006	146.56100000000006	146.56100000000006	146.56100000000006
1983-07-31	180.449	180.449	180.449	180.449	123.92300000000003	123.92300000000003	123.92300000000003	123.92300000000003
1983-08-31	133.94200000000004	133.94200000000004	133.94200000000004	133.94200000000004	281.92499999999984	281.92499999999984	281.92499999999984	281.92499999999984
1983-09-30	66.26899999999999	66.26899999999999	66.26899999999999	66.26899999999999	105.52599999999995	105.52599999999995	105.52599999999995	105.52599999999995
1983-10-31	105.84100000000004	105.84100000000004	105.84100000000004	105.84100000000004	139.899	139.899	139.899	139.899
1983-11-30	87.68799999999999	87.68799999999999	87.68799999999999	87.68799999999999	50.02100000000001	50.02100000000001	50.02100000000001	50.02100000000001
1983-12-31	275.31500000000017	275.31500000000017	275.31500000000017	275.31500000000017	176.561	176.561	176.561	176.561
1984-01-31	51.719999999999985	51.719999999999985	51.719999999999985	51.719999999999985	308.994	308.994	308.994	308.994
1984-02-29	107.86300000000001	107.86300000000001	107.86300000000001	107.86300000000001	223.624	223.624	223.624	223.624
1984-03-31	36.471	36.471	36.471	36.471	94.042	94.042	94.042	94.042
1984-04-30	137.914	137.914	137.914	137.914	51.582999999999984	51.582999999999984	51.582999999999984	51.582999999999984
1984-05-31	125.714	125.714	125.714	125.714	178.54599999999996	178.54599999999996	178.54599999999996	178.54599999999996
1984-06-30	125.99499999999999	125.99499999999999	125.99499999999999	125.99499999999999	142.19699999999997	142.19699999999997	142.19699999999997	142.19699999999997
1984-07-31	224.72900000000004	224.72900000000004	224.72900000000004	224.72900000000004	51.87299999999999	51.87299999999999	51.87299999999999	51.87299999999999
1984-08-31	311.121	311.121	311.121	311.121	225.11499999999998	225.11499999999998	225.11499999999998	225.11499999999998
1984-09-30	62.319	62.319	62.319	62.319	163.882	163.882	163.882	163.882
1984-10-31	223.14099999999996	223.14099999999996	223.14099999999996	223.14099999999996	123.48900000000003	123.48900000000003	123.48900000000003	123.48900000000003
1984-11-30	151.19800000000004	151.19800000000004	151.19800000000004	151.19800000000004	190.49899999999994	190.49899999999994	190.49899999999994	190.49899999999994
1984-12-31	120.31200000000001	120.31200000000001	120.31200000000001	120.31200000000001	128.45100000000008	128.45100000000008	128.45100000000008	128.45100000000008
1985-01-31	49.87200000000001	49.87200000000001	49.87200000000001	49.87200000000001	168.33799999999997	168.33799999999997	168.33799999999997	168.33799999999997
1985-02-28	67.09100000000001	67.09100000000001	67.09100000000001	67.09100000000001	64.75299999999999	64.75299999999999	64.75299999999999	64.75299999999999
1985-03-31	87.303	87.303	87.303	87.303	162.372	162.372	162.372	162.372
1985-04-30	61.654999999999994	61.654999999999994	61.654999999999994	61.654999999999994	69.70399999999997	69.70399999999997	69.70399999999997	69.70399999999997
1985-05-31	193.204	193.204	193.204	193.204	156.55400000000003	156.55400000000003	156.55400000000003	156.55400000000003
