datetime	A1B-A	A1B-B	A1B-C	A1B-BASELINE	RCP85-A	RCP85-B	RCP85-C	RCP85-BASELINE
1981-10-31	146.95786999999996	146.95786999999996	146.95786999999996	146.95786999999996	345.2476400000002	345.24763000000024	345.24763000000024	345.24763000000024
1981-11-30	73.91661000000008	73.91666000000009	73.91663000000007	73.91666000000009	145.33694999999983	145.33700999999985	145.33688999999984	145.33695999999983
1981-12-31	81.50081999999995	81.50105999999995	81.50109999999995	81.50103999999993	92.78476000000016	92.78482000000015	92.78498000000016	92.78476000000015
1982-01-31	71.58337000000003	71.58365000000008	71.58358000000003	71.58356000000005	49.67469999999997	49.67466999999998	49.67462999999997	49.67470999999997
1982-02-28	42.475310000000015	42.47521000000002	42.47526000000001	42.47525000000001	40.683630000000015	40.68364000000002	40.683630000000015	40.683630000000015
1982-03-31	59.67145000000002	59.67147000000002	59.67127000000002	59.671270000000014	137.3277700000001	137.32787000000005	137.32748000000012	137.3278400000001
1982-04-30	102.73099000000012	102.73029000000014	102.73048000000016	102.73059000000018	80.39320999999995	80.39327999999996	80.39355999999998	80.39322999999999
1982-05-31	242.00387000000003	242.0044800000001	242.0042600000001	242.0043000000001	135.15207000000004	135.15217000000004	135.15220000000005	135.15213000000008
1982-06-30	122.7298100000001	122.7298100000001	122.72982000000007	122.72975000000005	122.31875000000004	122.31883000000002	122.31881000000003	122.31878000000002
1982-07-31	39.1484	39.14834	39.14841	39.14837000000001	59.86695999999996	59.86701999999997	59.86693999999998	59.86699999999997
1982-08-31	74.55117999999997	74.55123999999998	74.55120999999997	74.55124999999997	81.38671999999997	81.38677999999999	81.38673999999997	81.38676999999998
1982-09-30	101.77429000000016	101.77421000000015	101.77437000000016	101.77432000000015	83.45718000000001	83.45769999999999	83.45787000000003	83.45754000000001
1982-10-31	60.68299999999983	60.68308999999987	60.68336999999989	60.68360999999988	75.53823999999997	75.53809999999999	75.53789999999994	75.53834999999997
1982-11-30	36.88232000000001	36.88238000000001	36.88223000000001	36.88233999999999	72.26999999999998	72.26927000000003	72.26941000000002	72.26890000000003
1982-12-31	31.629999999999978	31.629969999999968	31.62999999999999	31.629879999999982	56.23077	56.23093999999999	56.23148000000002	56.23088000000002
1983-01-31	31.428610000000003	31.42858	31.428449999999987	31.428359999999994	48.63496000000001	48.63505	48.63568000000001	48.63537999999999
1983-02-28	28.97411	28.973770000000005	28.973940000000002	28.973830000000003	42.658499999999975	42.65821000000001	42.65880999999998	42.65906999999996
1983-03-31	71.17818999999994	71.17789	71.17763999999997	71.17787999999997	83.70378999999984	83.70662999999995	83.70689999999996	83.70354999999982
1983-04-30	72.75525	72.75539	72.75640000000003	72.75599000000001	74.74913000000001	74.7501499999999	74.74853999999995	74.75237999999993
1983-05-31	157.42864000000017	157.42754000000005	157.42877000000013	157.42828000000017	187.84631000000002	187.84765000000004	187.84715000000006	187.84571999999994
1983-06-30	57.55539999999996	57.55544999999998	57.55494999999996	57.55509999999995	232.29236000000023	232.29077000000018	232.29275000000035	232.29307000000023
1983-07-31	67.29496000000006	67.29463000000005	67.29445000000003	67.29432000000001	121.65185000000012	121.65008000000017	121.6491700000001	121.64983000000016
1983-08-31	48.96155000000008	48.96160000000007	48.96133000000007	48.96159000000008	142.40102999999996	142.40104999999997	142.4006299999999	142.40010000000004
1983-09-30	36.75900000000002	36.75935000000002	36.759010000000025	36.75917000000002	92.58400000000006	92.58584000000005	92.58529000000003	92.58667000000003
1983-10-31	49.753880000000045	49.753770000000024	49.75420000000007	49.75389000000004	57.20596000000004	57.20591000000001	57.20453000000005	57.20604000000001
1983-11-30	40.780290000000036	40.780840000000026	40.78061000000003	40.78026000000004	61.634950000000046	61.63642000000003	61.636050000000026	61.634550000000054
1983-12-31	60.27930999999997	60.28078999999999	60.27885	60.27878999999997	51.258989999999976	51.256359999999965	51.25989999999998	51.25912000000001
1984-01-31	42.146530000000055	42.14591000000003	42.14371000000006	42.145660000000056	50.569550000000035	50.57120000000009	50.5734	50.569350000000135
1984-02-29	35.70492999999999	35.70367000000001	35.701720000000016	35.703739999999996	47.35951999999999	47.35429	47.352990000000005	47.35353000000001
1984-03-31	42.83069999999998	42.830889999999975	42.83259000000001	42.83242000000001	119.67056999999987	119.6668499999999	119.6717499999999	119.66162000000001
1984-04-30	99.77819999999988	99.77888000000006	99.78166999999993	99.78004999999996	272.1589000000003	272.1581900000002	272.16036999999994	272.14739000000003
1984-05-31	190.12114000000005	190.1205200000001	190.12376000000015	190.12054000000006	217.74543999999995	217.75023999999993	217.74362999999988	217.75556999999984
1984-06-30	98.47124999999997	98.47093999999994	98.47190999999988	98.47238999999993	123.50084000000011	123.50472000000003	123.50350000000014	123.50806999999999
1984-07-31	62.28437000000001	62.284349999999954	62.28418000000002	62.284899999999986	43.93247999999996	43.93289999999996	43.93236999999997	43.934589999999965
1984-08-31	161.25925000000004	161.25793000000004	161.25518999999977	161.25898999999978	56.91863000000002	56.91911000000001	56.91832000000004	56.920470000000044
1984-09-30	95.36099000000023	95.36357000000018	95.36220000000009	95.36188000000016	95.92115999999986	95.92126999999992	95.92005999999999	95.9229399999999
1984-10-31	97.04854999999998	97.04406000000002	97.05109000000002	97.04989000000002	85.42972000000005	85.43434000000005	85.43000999999994	85.43393999999996
1984-11-30	90.35405999999998	90.35654000000001	90.35200000000003	90.35403000000001	67.49201000000002	67.49373	67.49716999999995	67.49692999999996
1984-12-31	63.98633999999996	63.98302999999994	63.98655999999998	63.98584999999994	62.463170000000005	62.46785999999998	62.46758999999997	62.47086999999994
