datetime	A1B-A	A1B-B	A1B-C	A1B-BASELINE	RCP85-A	RCP85-B	RCP85-C	RCP85-BASELINE
1981-10-31	5.129360000000003	5.129370000000002	5.129360000000003	5.129350000000002	20.688149999999975	20.688139999999976	20.688169999999975	20.688139999999972
1981-11-30	8.524680000000002	8.524680000000002	8.524680000000002	8.524680000000002	15.465230000000004	15.465230000000004	15.465230000000004	15.465230000000004
1981-12-31	8.317950000000003	8.317950000000003	8.317950000000003	8.317950000000003	7.834679999999995	7.834679999999995	7.834679999999995	7.834679999999995
1982-01-31	6.266390000000003	6.266390000000003	6.266390000000003	6.266390000000003	2.2717200000000006	2.2717200000000006	2.2717200000000006	2.2717200000000006
1982-02-28	3.4779299999999997	3.4779299999999997	3.4779299999999997	3.4779299999999997	5.717810000000001	5.717810000000001	5.717810000000001	5.717810000000001
1982-03-31	9.329290000000004	9.329290000000004	9.329300000000003	9.329290000000004	25.056939999999994	25.056929999999994	25.056929999999994	25.056939999999994
1982-04-30	19.481100000000023	19.481100000000023	19.481110000000022	19.481100000000023	16.852749999999986	16.852749999999986	16.852749999999986	16.852749999999986
1982-05-31	21.766070000000006	21.766070000000006	21.766060000000007	21.766070000000006	28.051409999999997	28.051439999999992	28.051449999999996	28.051409999999997
1982-06-30	33.26099999999998	33.26098999999998	33.26100999999998	33.26097999999998	30.40848999999996	30.408539999999963	30.408509999999964	30.40850999999996
1982-07-31	42.563290000000045	42.56330000000004	42.56330000000004	42.56329000000005	28.680539999999972	28.680519999999973	28.680539999999972	28.680539999999972
1982-08-31	47.58116000000001	47.58108000000001	47.58111000000002	47.58114000000002	32.66154999999999	32.66152999999999	32.66151999999999	32.661529999999985
1982-09-30	25.776439999999994	25.776489999999992	25.776469999999993	25.776469999999993	23.164180000000005	23.1642	23.16421	23.1642
1982-10-31	16.015109999999996	16.015119999999996	16.015109999999996	16.015109999999996	17.16126999999999	17.16126999999999	17.161259999999988	17.161259999999988
1982-11-30	8.912729999999993	8.912729999999993	8.912729999999993	8.912729999999993	8.462250000000003	8.462250000000003	8.462250000000003	8.462250000000003
1982-12-31	3.9308700000000023	3.9308700000000023	3.9308700000000023	3.9308700000000023	8.528449999999992	8.528449999999992	8.528449999999992	8.528449999999992
1983-01-31	5.60014	5.60014	5.60014	5.60014	8.272979999999993	8.272979999999993	8.272979999999993	8.272979999999993
1983-02-28	3.9860000000000015	3.9860000000000015	3.9860000000000015	3.9860000000000015	2.891650000000003	2.891650000000003	2.891650000000003	2.891650000000003
1983-03-31	13.19308999999999	13.19308999999999	13.19308999999999	13.19308999999999	11.211279999999999	11.211279999999999	11.211279999999999	11.211279999999999
1983-04-30	23.80674999999999	23.806759999999993	23.80674999999999	23.80675999999999	20.542449999999974	20.542449999999974	20.542449999999974	20.542449999999974
1983-05-31	32.546589999999945	32.54659999999995	32.54662999999995	32.546599999999955	29.467809999999982	29.467799999999983	29.46781999999998	29.467799999999976
1983-06-30	48.01936999999995	48.01935999999997	48.01935999999996	48.01938999999996	26.702970000000015	26.702940000000016	26.702930000000013	26.702980000000014
1983-07-31	40.446239999999996	40.44622999999999	40.44626999999999	40.446279999999994	31.216659999999976	31.216639999999977	31.216649999999976	31.216629999999977
1983-08-31	46.59320999999999	46.59318999999999	46.593259999999994	46.593229999999984	41.02799000000003	41.02799000000001	41.028030000000015	41.028020000000026
1983-09-30	15.741350000000006	15.741360000000004	15.741360000000004	15.741370000000005	29.55788000000003	29.55788000000003	29.55789000000003	29.557910000000028
1983-10-31	15.318659999999996	15.318659999999996	15.318659999999996	15.318659999999996	11.817899999999998	11.817899999999998	11.817899999999998	11.817889999999998
1983-11-30	14.358399999999989	14.35837999999999	14.35837999999999	14.35838999999999	5.248099999999995	5.248099999999995	5.248099999999995	5.248099999999995
1983-12-31	7.3955599999999935	7.3955599999999935	7.3955599999999935	7.3955599999999935	9.082570000000004	9.082570000000004	9.082570000000004	9.082570000000004
1984-01-31	4.67327	4.67327	4.67327	4.67327	4.633520000000003	4.633520000000003	4.633520000000003	4.633520000000003
1984-02-29	4.086519999999998	4.086519999999998	4.086519999999998	4.086519999999998	6.4123700000000055	6.4123700000000055	6.4123700000000055	6.4123700000000055
1984-03-31	5.7487699999999995	5.7487699999999995	5.7487699999999995	5.748779999999999	10.003730000000001	10.003730000000001	10.003730000000001	10.003730000000001
1984-04-30	17.45899	17.45897	17.45898	17.45899	10.520130000000004	10.52012	10.52012	10.52012
1984-05-31	22.79554999999997	22.79551999999997	22.795559999999973	22.79551999999997	36.319419999999965	36.31946999999997	36.319459999999964	36.31946999999997
1984-06-30	36.49336999999999	36.49336999999999	36.49340999999999	36.49335999999999	44.82931999999994	44.82927999999995	44.82925999999995	44.82930999999996
1984-07-31	44.72389000000003	44.72390000000002	44.72390000000002	44.723910000000025	21.412769999999995	21.412769999999995	21.412779999999994	21.412789999999994
1984-08-31	54.86751	54.86750999999999	54.86753	54.86742	31.993499999999976	31.993539999999978	31.993509999999976	31.993509999999976
1984-09-30	23.948079999999973	23.948119999999975	23.948069999999973	23.948099999999975	18.11953999999998	18.11950999999998	18.11952999999998	18.11950999999998
1984-10-31	18.470929999999992	18.470929999999992	18.470929999999992	18.470929999999992	18.189159999999994	18.189169999999994	18.18915999999999	18.189159999999994
1984-11-30	16.621769999999994	16.621779999999994	16.621779999999994	16.621789999999994	11.090960000000004	11.090960000000004	11.090960000000004	11.090960000000004
1984-12-31	7.464810000000001	7.464810000000001	7.464810000000001	7.464810000000001	8.305849999999996	8.305849999999996	8.305849999999996	8.305849999999996
